INFO - main.py - 2025-09-02 21:16:53,323 - Co-evolving Conditional Diffusion models
INFO - co_evolving_condition.py - 2025-09-02 21:16:58,258 - Continuous model params: 450829
INFO - co_evolving_condition.py - 2025-09-02 21:16:58,258 - Discrete model params: 675285
INFO - co_evolving_condition.py - 2025-09-02 21:16:58,259 - Total steps: 20
INFO - co_evolving_condition.py - 2025-09-02 21:16:58,259 - Sample steps: 2000
INFO - co_evolving_condition.py - 2025-09-02 21:16:58,259 - Continuous: 120, 5
INFO - co_evolving_condition.py - 2025-09-02 21:16:58,260 - Discrete: 120, 3
INFO - co_evolving_condition.py - 2025-09-02 21:17:00,412 - Epoch :17, diffusion continuous loss: 0.940, discrete loss: 0.380
INFO - co_evolving_condition.py - 2025-09-02 21:17:00,412 - Epoch :17, CL continuous loss: 0.999, discrete loss: 1.000
INFO - co_evolving_condition.py - 2025-09-02 21:17:00,412 - Epoch :17, Total continuous loss: 1.140, discrete loss: 0.580
INFO - co_evolving_condition.py - 2025-09-02 21:17:00,440 - Epoch :18, diffusion continuous loss: 0.960, discrete loss: 0.292
INFO - co_evolving_condition.py - 2025-09-02 21:17:00,441 - Epoch :18, CL continuous loss: 1.000, discrete loss: 1.000
INFO - co_evolving_condition.py - 2025-09-02 21:17:00,441 - Epoch :18, Total continuous loss: 1.160, discrete loss: 0.492
INFO - co_evolving_condition.py - 2025-09-02 21:17:00,477 - Epoch :19, diffusion continuous loss: 1.018, discrete loss: 0.318
INFO - co_evolving_condition.py - 2025-09-02 21:17:00,478 - Epoch :19, CL continuous loss: 0.996, discrete loss: 1.000
INFO - co_evolving_condition.py - 2025-09-02 21:17:00,478 - Epoch :19, Total continuous loss: 1.217, discrete loss: 0.518
INFO - co_evolving_condition.py - 2025-09-02 21:17:00,602 - sampling 500 samples
