condition,color_type,length_m,height_cm,x1,x2,breed_category,pet_category
2.0,Brown Tabby,0.73,35.42,9,2,0,1
0.0,Brown Tabby,0.31,49.06,0,1,1,1
0.0,Tricolor,0.3,23.88,0,7,1,2
,Red,0.49,39.78,15,4,2,4
1.0,Black,0.24,40.52,0,7,0,1
2.0,Black,0.79,39.36,0,3,0,1
,Brown Tabby,0.17,32.6,13,9,2,1
2.0,Buff,0.27,32.8,18,4,0,1
1.0,Blue Tick,0.58,39.96,0,1,0,2
0.0,Black,0.18,48.06,0,7,1,2
0.0,White,0.01,30.99,0,1,1,2
0.0,Brown,0.56,16.55,7,1,1,2
0.0,Orange Tabby,0.46,27.83,0,1,1,1
1.0,Brown,0.45,35.75,0,1,0,2
,Red,0.15,36.73,12,1,2,0
2.0,Tricolor,0.64,35.69,13,9,1,2
1.0,Orange Tabby,0.3,29.19,0,1,0,1
1.0,Orange Tabby,0.32,40.57,16,9,0,1
1.0,Black,0.1,7.12,0,7,0,2
1.0,Black,0.0,32.98,7,1,0,2
0.0,Blue,0.01,43.68,0,1,1,1
0.0,Torbie,0.89,12.65,0,1,1,1
1.0,White,0.46,19.38,0,1,0,1
0.0,Brown Tabby,0.91,45.39,0,1,1,1
2.0,Brown Tabby,0.43,49.54,17,9,1,1
0.0,Brown Tabby,0.67,42.6,0,1,1,1
1.0,Black,0.93,20.02,0,1,0,2
0.0,Tan,0.0,22.2,0,7,1,2
0.0,Orange,0.41,6.47,0,1,1,1
1.0,Black,0.02,36.19,17,9,0,1
0.0,Torbie,0.44,25.45,0,1,1,1
1.0,Tan,0.21,31.52,0,7,0,2
0.0,Blue Tabby,0.11,42.76,0,1,1,1
0.0,Chocolate,0.84,22.98,0,7,1,2
0.0,Black,0.09,8.86,0,1,1,1
1.0,Orange Tabby,0.06,15.46,0,1,0,1
2.0,White,0.61,25.47,0,7,0,2
2.0,Orange Tabby,0.81,42.33,18,4,0,1
1.0,Chocolate,0.14,45.05,0,7,0,2
2.0,Black,0.05,31.45,13,9,1,1
2.0,Brown Tabby,0.82,17.62,9,2,1,1
1.0,Black,0.81,29.03,0,1,0,1
0.0,White,0.76,46.05,0,1,1,2
1.0,Black,0.92,11.19,0,1,0,1
,Calico,0.99,44.23,13,9,2,1
,Red,0.16,8.42,15,4,2,4
2.0,Black Tabby,0.33,33.54,13,9,0,1
2.0,Black,0.95,44.05,13,9,1,1
2.0,Red,0.17,33.19,15,4,1,4
1.0,Tan,0.14,17.85,13,9,0,2
2.0,Brown Tabby,0.37,17.3,0,1,0,1
1.0,Black Brindle,0.41,24.66,0,1,0,2
1.0,Cream Tabby,0.52,6.25,0,1,0,1
1.0,White,0.91,24.31,0,7,0,2
0.0,Blue Tabby,0.69,42.55,0,1,1,1
0.0,Black,0.04,5.4,0,7,1,2
1.0,Orange Tabby,0.03,8.12,0,1,0,1
0.0,Tan,0.18,26.67,0,1,1,2
0.0,Torbie,0.04,13.85,0,1,1,1
1.0,Black,0.08,29.65,0,7,0,2
2.0,White,0.2,32.09,13,9,0,2
2.0,Black,0.15,31.43,0,7,0,2
1.0,Brown Brindle,0.63,22.83,0,1,0,2
1.0,Blue,0.9,24.96,7,1,0,1
2.0,Black,0.81,43.14,13,9,0,1
0.0,Gold,0.36,15.45,0,1,1,2
0.0,Brown Tabby,0.49,7.78,13,9,1,1
2.0,Black,0.27,12.54,13,9,0,1
,Brown,0.97,46.19,0,3,2,4
2.0,Calico Point,0.53,20.28,9,5,1,1
1.0,White,0.4,47.42,0,7,0,2
1.0,Blue Merle,0.04,45.23,0,7,0,2
0.0,Brown Tabby,0.77,27.39,0,7,1,1
0.0,Blue,0.19,26.1,13,9,1,1
1.0,Blue Merle,0.5,12.22,0,7,0,2
0.0,Brown Brindle,0.9,48.26,0,1,1,2
1.0,Blue Tabby,0.3,31.37,7,1,0,1
0.0,Blue Tabby,0.91,27.96,0,1,1,1
0.0,Tortie,1.0,27.77,0,1,1,1
1.0,Tan,0.53,22.5,7,1,0,2
0.0,White,0.49,18.86,13,9,1,2
2.0,Black,0.48,12.48,2,4,0,1
0.0,White,0.73,9.2,0,7,1,2
0.0,White,0.21,47.6,0,7,1,2
2.0,Black,0.91,41.92,13,9,1,2
0.0,Black,0.69,41.93,0,7,1,2
0.0,Orange Tabby,0.06,33.95,7,1,1,1
1.0,Brown Tabby,0.37,26.27,0,1,0,1
1.0,Orange Tabby,0.47,7.59,0,7,0,1
1.0,Brown Tabby,0.88,44.54,0,1,0,1
1.0,Black,0.09,29.71,0,7,0,2
1.0,Tan,0.87,20.66,0,1,0,2
1.0,Orange Tabby,0.66,23.94,7,1,0,1
1.0,White,0.64,41.35,0,7,0,2
2.0,Tricolor,0.51,13.5,13,9,1,2
2.0,Red Merle,0.29,6.67,13,9,0,2
0.0,Black,0.04,9.82,0,7,1,2
2.0,Black Tabby,0.16,8.04,7,1,0,1
2.0,Brown Tabby,0.61,39.88,0,1,1,1
2.0,Brown,0.66,18.9,18,4,1,2
0.0,Orange Tabby,0.15,36.78,0,1,1,1
1.0,Black,0.19,25.17,0,1,0,2
,Black,0.73,29.2,0,4,2,4
2.0,White,0.49,5.36,13,9,1,2
1.0,Blue,0.33,17.73,0,1,0,1
1.0,Black,0.73,35.55,0,1,0,1
,Orange Tabby,0.87,16.35,13,9,2,1
1.0,Tan,0.63,30.38,0,7,0,2
2.0,Brown Tabby,0.09,31.36,18,4,0,1
1.0,Orange Tabby,0.24,12.49,13,9,0,1
0.0,Black,0.0,17.1,0,1,1,2
2.0,White,0.9,35.86,13,9,0,2
1.0,Red,0.06,43.61,7,1,0,2
0.0,Tan,0.42,19.77,0,1,1,2
1.0,Fawn,0.12,25.23,0,1,0,2
0.0,Tortie,0.33,32.86,0,1,1,1
2.0,Tortie,0.26,31.88,16,9,1,1
2.0,Calico,0.96,45.54,0,1,1,1
0.0,Buff,0.62,47.82,0,1,1,2
1.0,White,0.9,35.33,0,7,0,2
2.0,Brown Tabby,0.1,33.83,17,9,1,1
1.0,Brown Tabby,0.85,34.59,0,1,0,1
1.0,Blue,0.56,15.28,13,9,0,1
1.0,Black,0.47,30.8,0,7,0,2
1.0,Black,0.08,8.46,17,9,0,1
0.0,Yellow,0.45,35.76,0,7,1,2
0.0,Black,0.54,15.61,7,1,1,1
0.0,White,0.06,41.49,13,9,1,2
1.0,White,0.15,28.19,0,7,0,2
1.0,Black,0.87,25.13,7,1,0,2
1.0,Black,0.63,46.43,0,1,0,2
2.0,Black,0.81,12.33,13,9,0,2
1.0,Cream Tabby,0.28,46.19,7,1,0,1
1.0,Cream Tabby,0.95,35.16,0,1,0,1
0.0,Cream Tabby,0.6,34.45,0,1,1,1
0.0,White,0.53,9.0,0,7,1,2
1.0,Tan,0.53,47.79,0,1,0,2
0.0,Brown Brindle,0.62,41.68,13,9,1,2
1.0,White,0.96,32.02,0,1,0,2
2.0,Brown,0.69,29.85,13,9,1,2
1.0,Gold,0.31,12.21,0,1,0,2
1.0,Tan,0.83,17.07,0,1,0,2
1.0,Yellow,0.3,49.38,0,1,0,2
1.0,White,0.07,36.77,0,7,0,2
0.0,Black,0.78,40.17,13,9,1,2
1.0,Lynx Point,0.41,38.73,0,1,0,1
0.0,Black,0.61,37.27,0,7,1,2
0.0,Black,0.29,31.53,0,1,1,2
1.0,Gray,0.79,33.12,0,1,0,1
2.0,Black,0.96,30.64,13,9,1,2
0.0,Brown Brindle,0.86,22.95,0,1,1,2
1.0,Blue Tabby,0.41,22.76,0,1,0,1
1.0,Blue,0.65,29.95,0,1,0,2
0.0,Black,0.55,35.53,0,1,1,2
1.0,Orange Tabby,0.97,27.9,0,1,0,1
2.0,Black,0.85,32.17,18,4,0,1
0.0,Brown,0.0,20.55,0,1,1,2
1.0,Black,0.56,43.07,7,1,0,1
1.0,Tan,0.93,13.47,0,7,0,2
1.0,Black,0.73,44.25,13,9,0,1
1.0,Tan,0.05,39.86,0,1,0,2
1.0,Black,0.71,28.59,0,7,0,2
1.0,Black,0.2,41.9,0,1,0,2
0.0,Brown Tabby,0.08,49.17,0,1,1,1
1.0,Buff,0.21,38.8,0,7,0,2
2.0,Black,0.15,39.21,0,7,1,2
2.0,Black,0.89,29.68,0,7,0,2
0.0,Torbie,0.74,27.37,7,1,1,1
1.0,Tan,0.64,8.23,0,1,0,2
,Torbie,0.95,17.16,13,9,2,1
1.0,Blue,0.04,14.75,0,1,0,1
0.0,Tan,0.49,37.41,7,1,1,2
2.0,Buff,0.91,5.19,13,9,0,2
1.0,Yellow,0.75,18.48,13,9,0,2
1.0,Chocolate,0.06,33.8,0,7,0,2
2.0,Tan,0.31,19.13,16,9,0,1
2.0,Brown Tabby,0.84,38.64,16,9,1,1
0.0,Black,0.85,23.15,0,1,1,2
0.0,Brown Tabby,0.38,36.04,0,1,1,1
2.0,Black,0.47,18.49,13,9,0,1
2.0,Orange Tabby,0.42,28.31,13,9,0,1
0.0,Tan,0.46,31.9,0,7,1,2
0.0,Black,0.33,38.9,0,1,1,2
2.0,Brown Tabby,0.79,29.49,16,9,1,1
0.0,White,0.04,16.33,0,1,1,2
2.0,Black,0.73,40.05,0,7,1,2
0.0,Black,0.3,34.08,0,1,1,1
0.0,Blue,0.12,5.69,0,1,1,1
0.0,Red,0.28,34.77,13,9,1,2
0.0,Red,0.22,16.2,0,1,1,2
1.0,Black,0.02,28.51,0,1,0,1
1.0,Tan,0.97,30.57,0,1,0,2
0.0,Red,0.35,48.44,0,1,1,2
1.0,Brown,0.65,13.1,0,7,0,2
1.0,Chocolate,0.15,20.29,0,1,0,2
1.0,Tan,0.22,8.16,0,1,0,2
,Black,0.57,9.16,15,4,2,4
1.0,Orange Tabby,0.27,16.82,7,1,0,1
2.0,White,0.95,21.23,8,2,1,1
2.0,Blue,0.62,22.14,18,4,0,1
2.0,Blue,0.93,37.85,13,9,1,2
1.0,White,0.09,37.6,0,1,0,2
1.0,Blue,0.72,35.28,0,7,0,1
1.0,Black,0.4,13.05,0,1,0,2
1.0,Brown,0.79,36.15,0,1,0,2
1.0,Blue Tabby,0.68,26.79,17,9,0,1
1.0,Brown Tabby,0.91,37.99,0,1,0,1
0.0,Black,0.95,13.15,0,1,1,1
1.0,Black,0.54,33.18,13,9,0,1
1.0,Black,0.49,41.77,0,1,0,2
2.0,Black,0.91,15.6,0,1,0,2
0.0,Tan,0.82,14.53,0,1,1,2
0.0,Tricolor,0.97,41.2,0,1,1,2
2.0,White,0.81,47.93,0,7,1,2
1.0,Black,0.98,5.85,15,4,0,2
2.0,Tan,0.54,23.05,0,7,0,2
1.0,Brown Brindle,0.39,15.24,0,7,0,2
1.0,Red,0.94,44.35,0,1,0,2
2.0,Orange Tabby,0.25,21.07,13,9,0,1
1.0,Tricolor,1.0,13.71,0,7,0,2
2.0,Brown,0.71,6.15,13,9,0,2
0.0,Black,0.35,35.55,0,7,1,2
0.0,White,0.85,35.69,0,7,1,2
1.0,Brown,0.63,38.25,0,7,0,2
2.0,Black,0.8,46.29,0,7,1,2
0.0,Tan,0.03,37.02,0,7,1,2
1.0,Brown,0.83,44.53,0,1,0,2
1.0,Blue,0.84,19.5,7,1,0,1
0.0,Black,0.65,15.99,0,7,1,2
1.0,White,0.89,35.14,0,7,0,2
2.0,Black,0.05,21.98,0,7,1,2
2.0,Blue,0.39,32.65,13,9,0,1
0.0,Black,0.28,5.09,7,1,1,1
1.0,Black,0.41,38.42,0,1,0,2
2.0,Tan,0.12,37.88,0,7,1,2
0.0,White,0.7,31.92,7,1,1,1
,Brown,0.26,43.1,15,4,2,4
0.0,Brown Tabby,0.19,15.11,13,9,1,1
0.0,Orange Tabby,0.5,45.4,0,1,1,1
2.0,Brown Tabby,0.69,5.53,13,9,1,1
1.0,Black,0.22,6.39,0,1,0,2
1.0,Orange Tabby,0.95,45.64,7,1,0,1
2.0,Calico,0.52,15.43,13,9,1,1
2.0,Tan,0.28,38.79,3,9,1,2
1.0,Brown Brindle,0.12,41.66,0,7,0,2
,Brown,0.84,7.1,0,4,2,4
2.0,Black,0.02,33.9,1,4,1,2
1.0,White,0.25,9.78,0,1,0,2
0.0,Brown Brindle,0.52,14.79,0,7,1,2
0.0,Brown Tabby,0.45,20.93,13,9,1,1
,Brown,0.38,45.09,9,2,2,4
1.0,Black,0.98,47.48,0,1,0,2
2.0,White,0.62,9.0,13,9,1,2
2.0,White,0.22,39.65,0,7,0,2
0.0,Brown Brindle,0.13,8.89,0,1,1,2
1.0,Tan,0.73,39.78,0,1,0,2
1.0,Fawn,0.63,45.6,0,1,0,2
1.0,Black,0.05,6.85,0,7,0,2
1.0,White,0.52,24.33,0,7,0,2
0.0,Calico,0.14,26.8,0,7,1,1
2.0,Brown,0.41,38.63,0,7,0,2
1.0,Black,0.84,6.09,0,1,0,2
,Black,0.71,5.23,18,4,2,2
0.0,Lynx Point,0.88,26.52,7,1,1,1
2.0,Black,0.75,20.29,13,9,1,2
2.0,Tan,0.17,19.45,13,9,1,2
0.0,White,0.88,13.95,0,7,1,2
2.0,White,0.05,27.1,0,7,0,2
0.0,Tricolor,1.0,13.15,0,7,1,2
1.0,White,0.97,9.94,13,9,0,2
0.0,Brown,0.19,12.64,7,1,1,2
0.0,Calico,0.73,22.26,7,1,1,1
0.0,White,0.36,22.09,13,9,1,1
0.0,White,0.79,27.54,13,9,1,2
0.0,Torbie,0.76,12.99,0,1,1,1
,Brown,0.44,28.94,0,3,2,4
2.0,Blue Tabby,0.28,7.29,0,1,1,1
2.0,Black,0.5,49.25,13,9,1,2
0.0,Black,0.1,25.28,0,1,1,2
1.0,Red,0.58,38.44,0,7,0,2
,White,0.3,8.17,13,9,2,4
1.0,Black,0.32,33.16,0,1,0,2
0.0,Red,0.7,25.31,0,1,1,2
,Black,0.33,27.61,13,9,2,1
2.0,Blue,0.87,7.64,0,7,0,2
2.0,Black,0.87,33.57,13,9,0,1
2.0,Brown Tabby,0.73,46.08,13,9,1,1
2.0,Tan,0.7,43.78,13,9,1,2
1.0,Brown Tabby,0.48,31.55,7,1,0,1
1.0,Black,0.19,41.63,7,1,0,2
1.0,White,0.7,6.09,0,1,0,2
,Brown Tabby,0.89,16.23,17,9,2,1
1.0,Black,0.86,6.27,0,1,0,2
,Brown Tabby,0.23,20.29,16,9,2,1
1.0,Tan,0.88,26.02,0,1,0,2
,Gray,0.89,6.71,13,9,2,4
0.0,Blue Tabby,0.14,47.51,0,1,1,1
1.0,Brown,0.8,39.47,0,7,0,2
2.0,Brown,0.72,28.43,0,7,0,2
1.0,Tan,0.89,17.07,18,4,0,2
0.0,Brown Tabby,0.55,18.31,0,1,1,1
1.0,Tan,0.88,8.29,7,1,0,2
2.0,Brown Tabby,0.35,49.84,16,9,1,1
0.0,Brown,0.64,19.97,0,1,1,2
0.0,Black,0.22,8.97,0,1,1,1
0.0,Tan,0.43,47.5,13,9,1,2
1.0,Brown,0.08,17.94,12,1,0,2
1.0,White,0.27,16.05,13,9,0,2
1.0,Brown Tabby,0.21,40.34,0,1,0,1
1.0,White,0.9,32.74,0,7,0,2
2.0,Tricolor,0.24,15.67,13,9,0,2
1.0,Red,0.4,23.08,0,1,0,2
1.0,Lynx Point,0.8,27.79,0,1,0,1
2.0,Blue,0.28,12.64,0,7,0,2
0.0,Blue,0.59,46.75,0,1,1,2
1.0,Brown,0.25,41.36,0,7,0,2
0.0,Brown Tabby,0.52,23.0,16,9,1,1
1.0,Tan,0.41,5.73,13,9,0,2
0.0,White,0.68,14.0,13,9,1,2
2.0,Black,0.3,9.88,0,7,1,2
0.0,Brown Tabby,0.74,35.97,0,1,1,1
,Orange Tabby,0.37,18.51,13,9,2,1
0.0,Orange Tabby,0.59,34.07,0,1,1,1
,Black,0.37,48.76,15,4,2,4
0.0,Brown Brindle,0.6,44.14,0,1,1,2
1.0,Brown,0.8,15.38,0,1,0,2
2.0,Brown,0.85,21.06,0,7,0,2
0.0,Torbie,0.1,5.28,7,1,1,1
1.0,White,0.67,7.87,0,1,0,2
1.0,Black,0.37,38.98,0,1,0,1
1.0,Brown,0.51,8.05,0,1,0,2
0.0,Brown Tabby,0.15,20.73,7,1,1,1
2.0,White,0.75,37.93,13,9,1,2
0.0,Blue Cream,0.32,9.95,0,1,1,1
1.0,Flame Point,0.83,26.5,0,1,0,1
1.0,White,0.91,22.82,0,1,0,2
2.0,Blue,0.08,49.4,13,9,1,1
1.0,Orange,0.59,39.84,7,1,0,1
0.0,Tricolor,0.49,40.88,0,1,1,2
0.0,Cream Tabby,0.89,47.94,0,1,1,1
1.0,Lynx Point,0.0,39.49,7,1,0,1
0.0,Black,0.7,5.58,0,1,1,1
0.0,Cream,0.1,39.98,0,1,1,2
1.0,Orange Tabby,0.08,26.74,0,1,0,1
1.0,Black,0.65,34.97,0,7,0,2
0.0,Yellow Brindle,0.28,22.9,13,9,1,2
2.0,Black,0.05,39.05,13,9,1,1
0.0,White,0.45,41.98,0,7,1,2
1.0,Black,0.04,20.94,0,1,0,2
2.0,Orange Tabby,0.23,38.04,13,9,0,1
1.0,Blue Merle,0.0,19.59,0,1,0,2
1.0,Black,0.79,25.44,0,1,0,2
1.0,Tan,0.53,45.5,0,1,0,2
1.0,Black,0.32,19.14,0,7,0,2
1.0,Orange Tabby,0.69,40.67,0,1,0,1
1.0,Brown Tabby,0.98,26.13,0,7,0,1
2.0,Red,0.69,48.85,0,7,1,2
,Black,0.2,49.03,15,4,2,4
1.0,Brown Tabby,0.67,49.04,0,7,0,1
2.0,Black,0.08,46.86,13,9,0,2
0.0,Black,0.01,35.01,18,4,1,1
0.0,Brown,0.76,35.67,0,7,1,2
1.0,Flame Point,0.97,12.34,0,1,0,1
0.0,Brown,0.11,43.27,13,9,1,2
1.0,Brown Tabby,0.16,5.61,0,1,0,1
1.0,Brown,0.52,10.74,0,7,0,2
0.0,Black,0.33,43.27,0,1,1,2
0.0,Black,0.06,19.29,0,1,1,1
1.0,Black,0.26,13.58,0,7,0,2
0.0,Orange Tabby,0.16,25.07,0,1,1,1
0.0,Tortie,0.29,10.66,0,7,1,1
2.0,Brown,0.29,8.55,13,9,0,2
1.0,Cream,0.21,35.66,7,1,0,2
1.0,Buff,0.69,46.88,13,9,0,2
1.0,Buff,0.82,20.11,0,1,0,2
2.0,Black,0.61,36.85,0,1,0,2
1.0,Red,0.48,21.4,0,1,0,2
1.0,Black,0.23,43.57,13,9,0,2
1.0,Black,0.5,6.31,0,1,0,2
1.0,Black,0.82,9.72,0,7,0,2
0.0,Brown Tabby,0.23,37.49,7,1,1,1
1.0,Brown Brindle,0.04,17.67,13,9,0,2
0.0,Brown,0.99,11.08,0,7,1,2
2.0,Brown Tabby,0.81,36.25,13,9,1,1
1.0,Blue Tiger,0.58,35.08,0,1,0,2
2.0,Black,0.56,31.2,13,9,0,1
1.0,Black,0.93,27.65,0,1,0,1
0.0,Fawn,0.71,49.7,0,1,1,2
0.0,Brown,0.86,31.1,0,1,1,2
1.0,Black,0.29,43.52,0,7,0,2
1.0,Black Brindle,0.32,44.18,0,1,0,2
1.0,Tan,0.38,43.49,0,1,0,2
0.0,Black,0.38,35.29,0,7,1,2
2.0,Brown Tabby,0.07,43.81,13,9,1,1
2.0,Lynx Point,0.23,16.51,0,1,0,1
1.0,Blue,0.86,6.12,0,1,0,2
0.0,Brown Tabby,0.6,22.52,0,1,1,1
1.0,Yellow,0.35,43.01,0,1,0,2
0.0,Brown,0.05,28.69,0,1,1,2
2.0,Tricolor,0.19,41.02,13,9,0,2
1.0,Black,0.08,22.64,0,1,0,1
1.0,Orange Tabby,0.58,40.94,0,7,0,1
0.0,Cream,0.03,47.89,0,1,1,2
1.0,Lynx Point,0.11,17.15,0,1,0,1
1.0,Blue,0.77,39.67,13,9,0,1
0.0,Black,0.22,24.84,0,1,1,2
1.0,Chocolate,0.75,45.5,0,7,0,2
0.0,Calico,0.41,30.09,0,1,1,1
0.0,Black,0.24,46.85,7,1,1,1
2.0,White,0.22,47.73,13,9,0,2
1.0,Black,0.67,34.63,0,1,0,2
0.0,Brown Tabby,0.9,29.29,7,1,1,1
1.0,Black,0.34,6.38,13,9,0,2
0.0,Tortie,0.2,6.89,7,1,1,1
,Brown,0.73,25.68,15,4,2,4
,Brown,0.9,16.28,15,4,2,4
0.0,White,0.89,15.46,0,1,1,2
1.0,Orange Tabby,0.79,31.53,0,1,0,1
0.0,Calico,0.87,34.05,0,1,1,1
,White,0.12,10.41,13,9,2,1
2.0,Black,0.09,16.76,13,9,1,2
1.0,Black,0.81,15.75,0,1,0,1
1.0,White,0.64,41.0,0,7,0,2
2.0,Brown Tabby,0.33,29.2,16,9,1,1
0.0,Tricolor,0.08,28.4,0,1,1,2
2.0,Tan,0.74,39.7,13,9,1,2
1.0,Brown Tabby,0.55,6.48,0,7,0,1
0.0,Brown Tabby,0.6,41.97,13,9,1,1
2.0,White,0.61,21.14,0,1,0,1
0.0,Tan,0.19,40.55,13,9,1,2
1.0,White,0.35,22.39,13,9,0,2
0.0,Black,0.79,9.41,7,1,1,1
0.0,Black,0.55,19.13,13,9,1,1
1.0,Brown Tabby,0.43,41.08,0,1,0,1
2.0,Cream,0.25,41.43,0,1,0,1
0.0,Blue,0.85,11.48,0,1,1,1
1.0,Black,0.67,35.4,0,1,0,2
1.0,Brown Brindle,0.51,7.54,0,7,0,2
0.0,Calico,0.33,7.34,0,1,1,1
1.0,Black,0.09,39.31,0,1,0,1
1.0,Fawn,0.73,19.38,13,9,0,2
0.0,Blue,0.6,20.11,0,1,1,2
1.0,Black,0.65,5.88,0,1,0,2
1.0,Orange Tabby,0.26,27.23,0,1,0,1
2.0,Brown Tabby,0.51,48.49,13,9,1,1
1.0,Black,0.94,42.29,0,1,0,1
0.0,Tan,0.85,38.28,0,1,1,2
1.0,Orange Tabby,0.43,18.28,17,9,0,1
2.0,Orange Tabby,0.45,33.14,13,9,1,1
1.0,Orange Tabby,0.04,23.09,7,1,0,1
0.0,Brown,0.77,21.86,12,1,1,2
1.0,Brown,0.31,17.46,0,7,0,2
0.0,Brown Tabby,0.33,31.28,0,1,1,1
1.0,White,0.03,36.48,0,1,0,1
2.0,Black,0.65,40.81,0,7,0,2
1.0,Black,0.24,18.19,13,9,0,2
0.0,Brown,0.83,19.65,0,1,1,2
,Brown,0.86,15.66,15,4,2,4
2.0,White,0.75,19.66,13,9,1,2
2.0,Calico,0.42,26.79,0,1,1,1
0.0,Seal Point,0.15,7.44,0,1,1,1
,Brown,0.89,32.68,15,4,2,4
0.0,Brown Tabby,0.14,46.05,0,1,1,1
0.0,Black,0.55,30.56,0,1,1,2
1.0,Black,0.57,38.4,0,7,0,2
0.0,White,0.28,29.16,0,7,1,2
1.0,White,0.74,5.7,0,1,0,2
2.0,Brown,0.79,38.73,18,4,0,2
1.0,Brown Tabby,0.9,40.24,7,1,0,1
1.0,Black Brindle,0.51,32.46,0,1,0,2
1.0,Tan,0.31,5.08,0,7,0,2
1.0,Orange Tabby,0.13,47.78,0,1,0,1
1.0,Red,0.33,41.54,0,1,0,2
1.0,Blue,0.3,25.84,0,1,0,1
1.0,Blue Tabby,0.78,12.88,0,1,0,1
1.0,Black,0.39,28.81,0,7,0,2
2.0,Black,0.04,31.46,0,7,0,2
2.0,Blue,0.89,24.03,0,7,0,2
1.0,Black,0.96,16.92,13,9,0,2
0.0,Brown Tabby,0.13,28.5,0,7,1,1
1.0,Black,0.6,23.46,0,1,0,1
1.0,White,0.21,28.38,7,1,0,2
1.0,White,0.6,24.49,0,1,0,2
0.0,Fawn,0.21,6.98,18,4,1,2
0.0,Brown,0.09,31.15,0,1,1,2
2.0,Calico,0.44,5.75,8,2,1,1
0.0,Tan,0.72,10.69,0,1,1,2
0.0,Calico,0.12,6.39,7,1,1,1
2.0,White,0.74,27.94,0,7,0,2
1.0,Black,0.72,45.81,13,9,0,2
2.0,Blue Tabby,0.89,16.48,13,9,0,1
0.0,Red Tick,0.4,9.91,0,1,1,2
0.0,Red,0.19,27.66,0,1,1,2
1.0,Brown,0.68,6.65,0,7,0,2
2.0,White,0.14,15.97,0,7,0,2
1.0,Brown Tabby,0.18,8.49,13,9,0,1
2.0,Black,0.59,44.52,13,9,1,1
2.0,Brown,0.06,10.63,0,7,1,2
2.0,White,0.53,15.36,0,7,1,2
1.0,Blue,0.18,6.53,0,1,0,1
2.0,Black,0.97,32.39,0,7,0,2
0.0,Torbie,0.2,17.47,0,1,1,1
2.0,Blue,0.25,23.24,18,4,0,1
0.0,Calico Point,0.08,20.35,7,1,1,1
0.0,Chocolate,0.14,12.99,0,1,1,2
,Black,0.46,42.17,13,9,2,1
1.0,White,0.2,12.34,0,1,0,2
0.0,Tan,0.67,40.03,13,9,1,2
